title,description,duration,amount,uom
Holistic Health Consultation,,60,4000,Session
Daily Nutritional Support,,,,Set
Dental Kit,,,,Set
Holistic Health Consultation with the Medical Doctor,,,,Session
Nutritional Microscopy,,30,,Session
Nutritional Consultation,,30,,Session
Harmonizing Flow/Psychoemotional Clearing,,30,,Session
Colon Hydrotherapy/Colema,,60,,Session
Colon Hydrotherapy/Colonics,,90,,Session
Colon Hydrotherapy/Angel of Water,,60,,Session
Brain Biofeedback System with Interpretation,,60,,Session
Rejuvenating Facial,,60,,Session
Rectal Wheatgrass Infusion Therapy,,,,Session
Acupuncture Aesthetic,,60,,Session
AlkaRelax,,90,,Session
Thai Massage,,90,,Session
Aromatherapy Massage,,60,,Session
Skin Kayud â€“ Barako Coffee,,90,,Session
Relaxation Massage,,60,,Session
Anti-Stress Facial,,60,,Session
Chlorophyll Body Wrap,,90,,Session
Aromatherapy Massage,,60,,Session
Oriental Journey,,120,,Session
Bittersweet Massage,,120,,Session
Seasonal Delight,,120,,Session
Tropical Bliss,,120,,Session
Rose Petal Body Wrap,,90,,Session
Tropical Bliss,,120,,Session